District Name,City,County Name
Medical Academy Cs,Catasauqua,Lehigh
Memphis Street Academy Cs @ Jp Jones,Philadelphia,Philadelphia
Mercer Area School District,Mercer,Mercer
Mercer County Career Center,Mercer,Mercer
Methacton School District,Eagleville,Montgomery
Meyerschool Districtale Area School District,Meyerschool Districtale,Somerset
Mid Valley School District,Throop,Lackawanna
Midd-West School District,Middleburg,Snyder
Middle Bucks Institute Of Technology School District,Jamison,Bucks
Middletown Area School District,Middletown,Dauphin
Midland Borough School District,Midland,Beaver
Mifflin County School District,Lewistown,Mifflin
Mifflin-Juniata Career And Technical Center,Lewistown,Mifflin
Mifflinburg Area School District,Mifflinburg,Union
Millcreek Township School District,Erie,Erie
Millersburg Area School District,Millersburg,Dauphin
Millville Area School District,Millville,Columbia
Milton Area School District,Milton,Northumberland
Minersville Area School District,Minersville,Schuylkill
Mohawk Area School District,Bessemer,Lawrence
Mon Valley Career And Technical Center,Charleroi,Washington
Monessen City School District,Monessen,Westmoreland
Moniteau School District,West Sunbury,Butler
Monroe Career & Technical Institute,Bartonsville,Monroe
Montessori Regional Cs,Erie,Erie
Montgomery Area School District,Montgomery,Lycoming
Montour School District,Mc Kees Rocks,Allegheny
Montoursville Area School District,Montoursville,Lycoming
Montrose Area School District,Montrose,Susquehanna
Moon Area School District,Moon Township,Allegheny
Morrisville Borough School District,Morrisville,Bucks
Moshannon Valley School District,Houtzdale,Clearfield
Mount Carmel Area School District,Mount Carmel,Northumberland
Mount Pleasant Area School District,Mount Pleasant,Westmoreland
Mount Union Area School District,Mount Union,Huntingdon
Mountain View School District,Kingsley,Susquehanna
Mt Lebanon School District,Pittsburgh,Allegheny
Muhlenberg School District,Laureldale,Berks
Multi-Cultural Academy Cs,Philadelphia,Philadelphia
Muncy School District,Muncy,Lycoming
Nazareth Area School District,Nazareth,Northampton
Neshaminy School District,Langhorne,Bucks
Neshannock Township School District,New Castle,Lawrence
New Brighton Area School District,New Brighton,Beaver
New Castle Area School District,New Castle,Lawrence
New Day Charter School,Huntingdon,Huntingdon
New Foundations Cs,Philadelphia,Philadelphia
New Hope Academy Cs,York,York
New Hope-Solebury School District,New Hope,Bucks
New Kensington-Arnold School District,New Kensington,Westmoreland
New Media Technology Cs,Philadelphia,Philadelphia
Newport School District,Newport,Perry
Nittany Valley Cs,State College,Centre
Norristown Area School District,Norristown,Montgomery
North Allegheny School District,Pittsburgh,Allegheny
North Central Secure Trmnt Unt,Danville,Montour
North Clarion County School District,Tionesta,Forest
North East School District,North East,Erie
North Hills School District,Pittsburgh,Allegheny
North Montco Technical Career Center,Lanschool Districtale,Montgomery
North Penn School District,Lanschool Districtale,Montgomery
North Pocono School District,Moscow,Lackawanna
North Schuylkill School District,Ashland,Schuylkill
North Star School District,Boswell,Somerset
Northampton Area School District,Northampton,Northampton
Northeast Bradford School District,Rome,Bradford
Northeastern York School District,Manchester,York
Northern Bedford County School District,Loysburg,Bedford
Northern Cambria School District,Northern Cambria,Cambria
Northern Lebanon School District,Fredericksburg,Lebanon
Northern Lehigh School District,Slatington,Lehigh
Northern Potter School District,Ulysses,Potter
Northern Tier Career Center,Towanda,Bradford
Northern Tioga School District,Elkland,Tioga
Northern Westmoreland Career And Technical Center,New Kensington,Westmoreland
Northern York County School District,Dillsburg,York
Northgate School District,Pittsburgh,Allegheny
Northumberland County Career And Technical Center,Coal Township,Northumberland
Northwest Area School District,Shickshinny,Luzerne
Northwestern School District,Albion,Erie
Northwestern Lehigh School District,New Tripoli,Lehigh
Northwood Academy Cs,Philadelphia,Philadelphia
Norwin School District,North Huntingdon,Westmoreland
Octorara Area School District,Atglen,Chester
Oil City Area School District,Oil City,Venango
Old Forge School District,Old Forge,Lackawanna
Oley Valley School District,Oley,Berks
Olney Charter High School,Philadelphia,Philadelphia
Oswayo Valley School District,Shinglehouse,Potter
Otto-Eldred School District,Duke Center,Mckean
Owen J Roberts School District,Pottstown,Chester
Oxford Area School District,Oxford,Chester
Pa Learners Online Regional Cyber Cs,Homestead,Allegheny
Palisades School District,Kintnersville,Bucks
Palmerton Area School District,Palmerton,Carbon
Palmyra Area School District,Palmyra,Lebanon
Pan American Academy Cs,Philadelphia,Philadelphia
Panther Valley School District,Lansford,Carbon
Parkland School District,Allentown,Lehigh
Parkway West Career And Technical Center,Oakdale,Allegheny
Pen Argyl Area School District,Pen Argyl,Northampton
Penn Cambria School District,Cresson,Cambria
Penn Hills Charter School For Entrepreneurship,Vernona,Allegheny
Penn Hills School District,Pittsburgh,Allegheny
Penn Manor School District,Lancaster,Lancaster
Penn-Delco School District,Aston,Delaware
Penn-Trafford School District,Harrison City,Westmoreland
Penncrest School District,Saegertown,Crawford
Pennridge School District,Perkasie,Bucks
Penns Manor Area School District,Clymer,Indiana
Penns Valley Area School District,Spring Mills,Centre
Pennsbury School District,Fallsington,Bucks
Pennsylvania Cyber Cs,Midland,Beaver
Pennsylvania Distance Learning Cs,Wexford,Allegheny
Pennsylvania Leadership Charter School,West Chester,Chester
People For People Cs,Philadelphia,Philadelphia
Pequea Valley School District,Kinzers,Lancaster
Perkiomen Valley School District,Collegeville,Montgomery
Perseus House Cs Of Excellence,Erie,Erie
Peters Township School District,Mcmurray,Washington
Philadelphia Academy Cs,Philadelphia,Philadelphia
Philadelphia City School District,Philadelphia,Philadelphia
Philadelphia Electrical & Technical Chs,Philadelphia,Philadelphia
Philadelphia Harambee Institute Cs,Philadelphia,Philadelphia
Philadelphia Montessori Cs,Philadelphia,Philadelphia
Philadelphia Performing Arts Cs,Philadelphia,Philadelphia
Philipsburg-Osceola Area School District,Philipsburg,Clearfield
Phoenixville Area School District,Phoenixville,Chester
Pine Grove Area School District,Pine Grove,Schuylkill
Pine-Richland School District,Gibsonia,Allegheny
Pittsburgh School District,Pittsburgh,Allegheny
Pittston Area School District,Pittston,Luzerne
Planet Abacus Cs,Philadelphia,Philadelphia
Pleasant Valley School District,Brodheadsville,Monroe
Plum Borough School District,Plum,Allegheny
Pocono Mountain Charter School,Tobyhanna,Monroe
Pocono Mountain School District,Swiftwater,Monroe
Port Allegany School District,Port Allegany,Mckean
Portage Area School District,Portage,Cambria
Pottsgrove School District,Pottstown,Montgomery
Pottstown School District,Pottstown,Montgomery
Pottsville Area School District,Pottsville,Schuylkill
Premier Arts And Science Charter School,Harrisburg,Dauphin
Preparatory Cs Of Mathematics Science Technical And Careers,Philadelphia,Philadelphia
Propel Cs-Braddock Hills,Pittsburgh,Allegheny
Propel Cs-East,Turtle Creek,Allegheny
Propel Cs-Homestead,Homestead,Allegheny
Propel Cs-Mckeesport,Mckeesport,Allegheny
Propel Cs-Montour,Pittsburgh,Allegheny
Propel Cs-Northside,Pittsburgh,Allegheny
Propel Cs-Pitcairn,Pittsburgh,Allegheny
Punxsutawney Area School District,Punxsutawney,Jefferson
Purchase Line School District,Commodore,Indiana
Quaker Valley School District,Leetsdale,Allegheny
Quakertown Community School District,Quakertown,Bucks
Radnor Township School District,Wayne,Delaware
Reading Muhlenberg Career And Technical Center,Reading,Berks
Reading School District,Reading,Berks
Red Lion Area School District,Red Lion,York
Redbank Valley School District,New Bethlehem,Clarion
Renaissance Academy Cs,Phoenixville,Chester
Renaissance Charter School,Philadelphia,Philadelphia
Reynolds School District,Greenville,Mercer
Richard Allen Preparatory Cs,Philadelphia,Philadelphia
Richland School District,Johnstown,Cambria
Ridgway Area School District,Ridgway,Elk
Ridley School District,Folsom,Delaware
Ringgold School District,New Eagle,Washington
Riverside Beaver County School District,Ellwood City,Beaver
Riverside School District,Taylor,Lackawanna
Riverview School District,Oakmont,Allegheny
Robert Benjamin Wiley Community Cs,Erie,Erie
Roberto Clemente Cs,Allentown,Lehigh
Rochester Area School District,Rochester,Beaver
Rockwood Area School District,Rockwood,Somerset
Rose Tree Media School District,Media,Delaware
Russell Byers Cs,Philadelphia,Philadelphia
Saint Clair Area School District,Saint Clair,Schuylkill
Saint Marys Area School District,Saint Marys,Elk
Salisbury Township School District,Allentown,Lehigh
Salisbury-Elk Lick School District,Salisbury,Somerset
Sankofa Academy Cs,West Chester,Chester
Sankofa Freedom Academy Charter School,Philadelphia,Philadelphia
Saucon Valley School District,Hellertown,Northampton
Sayre Area School District,Sayre,Bradford
School Lane Cs,Bensalem,Bucks
Schuylkill Haven Area School District,Schuylkill Haven,Schuylkill
Schuylkill Technology Centers,Mar Lin,Schuylkill
Schuylkill Valley School District,Leesport,Berks
Scranton School District,Scranton,Lackawanna
Selinsgrove Area School District,Selinsgrove,Snyder
Seneca Highlands Career And Technical Center,Port Allegany,Mckean
Seneca Valley School District,Harmony,Butler
Seven Generations Charter School,Emmaus,Lehigh
Shade-Central City School District,Cairnbrook,Somerset
Shaler Area School District,Glenshaw,Allegheny
Shamokin Area School District,Coal Township,Northumberland
Shanksville-Stonycreek School District,Shanksville,Somerset
Sharon City School District,Sharon,Mercer
Sharpsville Area School District,Sharpsville,Mercer
Shenandoah Valley School District,Shenandoah,Schuylkill
Shenango Area School District,New Castle,Lawrence
Shikellamy School District,Sunbury,Northumberland
Shippensburg Area School District,Shippensburg,Franklin
Slippery Rock Area School District,Slippery Rock,Butler
Smethport Area School District,Smethport,Mckean
Solanco School District,Quarryville,Lancaster
Solomon Charter School Inc.,Philadelphia,Philadelphia
Somerset Area School District,Somerset,Somerset
Somerset County Technology Center,Somerset,Somerset
Souderton Area School District,Souderton,Montgomery
Souderton Cs Collaborative,Souderton,Montgomery
South Allegheny School District,Mc Keesport,Allegheny
South Butler County School District,Saxonburg,Butler
South Eastern School District,Fawn Grove,York
South Fayette Township School District,Mcdonald,Allegheny
South Middleton School District,Boiling Springs,Cumberland
South Mountain Secure Trmnt Un School District,South Mountain,Franklin
South Park School District,South Park,Allegheny
South Side Area School District,Hookstown,Beaver
South Western School District,Hanover,York
South Williamsport Area School District,South Williamsport,Lycoming
Southeast Delco School District,Folcroft,Delaware
Southeastern Greene School District,Greensboro,Greene
Southern Columbia Area School District,Catawissa,Columbia
Southern Fulton School District,Warfordsburg,Fulton
Southern Huntingdon County School District,Three Springs,Huntingdon
Southern Lehigh School District,Center Valley,Lehigh
Southern Tioga School District,Blossburg,Tioga
Southern York County School District,Glen Rock,York
Southmoreland School District,Scottdale,Westmoreland
Southwest Leadership Academy Cs,Philadelphia,Philadelphia
Spectrum Cs,Monroeville,Allegheny
Spring Cove School District,Roaring Spring,Blair
Spring Grove Area School District,Spring Grove,York
Spring-Ford Area School District,Royersford,Montgomery
Springfield School District,Springfield,Delaware
Springfield Township School District,Oreland,Montgomery
State College Area School District,State College,Centre
Steel Center Avts,Jefferson Hills,Allegheny
Steel Valley School District,Munhall,Allegheny
Steelton-Highspire School District,Steelton,Dauphin
Sto-Rox School District,Mckees Rocks,Allegheny
Stone Valley Community Cs,Huntingdon,Huntingdon
Stroudsburg Area School District,Stroudsburg,Monroe
Sugar Valley Rural Cs,Loganton,Clinton
Sullivan County School District,Laporte,Sullivan
Sun Area Technical Institute School District,New Berlin,Union
Susq-Cyber Cs,Bloomsburg,Columbia
Susquehanna Community School District,Susquehanna,Susquehanna
Susquehanna County Career And Technical Center,Dimock,Susquehanna
Susquehanna Township School District,Harrisburg,Dauphin
Susquenita School District,Duncannon,Perry
Sylvan Heights Science Cs,Harrisburg,Dauphin
Tacony Academy Charter School,Philadelphia,Philadelphia
Tamaqua Area School District,Tamaqua,Schuylkill
The Philadelphia Cs For Arts And Sciences At Hr Edmunds,Philadelphia,Philadelphia
Tidioute Community Cs,Tidioute,Warren
Titusville Area School District,Titusville,Crawford
Towanda Area School District,Towanda,Bradford
Tredyffrin-Easttown School District,Wayne,Chester
Tri-Valley School District,Valley View,Schuylkill
Trinity Area School District,Washington,Washington
Troy Area School District,Troy,Bradford
Truebright Science Academy Cs,Philadelphia,Philadelphia
Tulpehocken Area School District,Bethel,Berks
Tunkhannock Area School District,Tunkhannock,Wyoming
Turkeyfoot Valley Area School District,Confluence,Somerset
Tuscarora School District,Mercersburg,Franklin
Tussey Mountain School District,Saxton,Bedford
Twin Valley School District,Elverson,Berks
Tyrone Area School District,Tyrone,Blair
Union Area School District,New Castle,Lawrence
Union City Area School District,Union City,Erie
Union School District,Rimersburg,Clarion
Uniontown Area School District,Uniontown,Fayette
Unionville-Chadds Ford School District,Kennett Square,Chester
United School District,Armagh,Indiana
Universal Alcorn Cs,Philadelphia,Philadelphia
Universal Audenried Charter School,Philadelphia,Philadelphia
Universal Bluford Charter School,Philadelphia,Philadelphia
Universal Creighton Charter School,Philadelphia,Philadelphia
Universal Daroff Charter School,Philadelphia,Philadelphia
Universal Institute Cs,Philadelphia,Philadelphia
Universal Vare Charter School,Philadelphia,Philadelphia
Upper Adams School District,Biglerville,Adams
Upper Bucks County Technical School District,Perkasie,Bucks
Upper Darby School District,Drexel Hill,Delaware
Upper Dauphin Area School District,Lykens,Dauphin
Upper Dublin School District,Maple Glen,Montgomery
Upper Merion Area School District,King Of Prussia,Montgomery
Upper Moreland Township School District,Willow Grove,Montgomery
Upper Perkiomen School District,Pennsburg,Montgomery
Upper Saint Clair School District,Pittsburgh,Allegheny
Urban League Of Greater Pittsburgh Cs,Pittsburgh,Allegheny
Urban Pathways 6-12 Cs,Pittsburgh,Allegheny
Urban Pathways K-5 College Charter School,Pittsburgh,Allegheny
Valley Grove School District,Franklin,Venango
Valley View School District,Archbald,Lackawanna
Venango Technology Center,Oil City,Venango
Vida Charter School,Gettysburg,Adams
Wakisha Cs,Philadelphia,Philadelphia
Wallenpaupack Area School District,Hawley,Pike
Wallingford-Swarthmore School District,Wallingford,Delaware
Walter D Palmer Leadership Learning Partners Cs,Philadelphia,Philadelphia
Warren County Avts School District,Warren,Warren
Warren County School District,Warren,Warren
Warrior Run School District,Turbotville,Northumberland
Warwick School District,Lititz,Lancaster
Washington School District,Washington,Washington
Wattsburg Area School District,Erie,Erie
Wayne Highlands School District,Honeschool Districtale,Wayne
Waynesboro Area School District,Waynesboro,Franklin
Weatherly Area School District,Weatherly,Carbon
Wellsboro Area School District,Wellsboro,Tioga
West Allegheny School District,Oakdale,Allegheny
West Branch Area School District,Morrischool Districtale,Clearfield
West Chester Area School District,West Chester,Chester
West Greene School District,Waynesburg,Greene
West Jefferson Hills School District,Jefferson Hills,Allegheny
West Middlesex Area School District,West Middlesex,Mercer
West Mifflin Area School District,West Mifflin,Allegheny
West Oak Lane Cs,Philadelphia,Philadelphia
West Perry School District,Elliottsburg,Perry
West Phila. Achievement Ces,Philadelphia,Philadelphia
West Shore School District,Lewisberry,York
West Side Career And Technical Center,Kingston,Luzerne
West York Area School District,York,York
Western Area Career And Technical Center,Canonsburg,Washington
Western Beaver County School District,Midland,Beaver
Western Montgomery Career And Technical Center,Limerick,Montgomery
Western Wayne School District,Lake Ariel,Wayne
Westmont Hilltop School District,Johnstown,Cambria
Whitehall-Coplay School District,Whitehall,Lehigh
Widener Partnership Cs,Chester,Delaware
Wilkes-Barre Area Career And Technical Center,Wilkes-Barre,Luzerne
Wilkes-Barre Area School District,Wilkes Barre,Luzerne
Wilkinsburg Borough School District,Wilkinsburg,Allegheny
William Penn School District,Lansdowne,Delaware
Williams Valley School District,Tower City,Schuylkill
Williamsburg Community School District,Williamsburg,Blair
Williamsport Area School District,Williamsport,Lycoming
Wilmington Area School District,New Wilmington,Lawrence
Wilson School District,West Lawn,Berks
Wilson Area School District,Easton,Northampton
Windber Area School District,Windber,Somerset
Wissahickon Cs,Philadelphia,Philadelphia
Wissahickon School District,Ambler,Montgomery
Wonderland Cs,State College,Centre
Woodland Hills School District,Pittsburgh,Allegheny
World Communications Cs,Philadelphia,Philadelphia
Wyalusing Area School District,Wyalusing,Bradford
Wyoming Area School District,Exeter,Luzerne
Wyoming Valley West School District,Kingston,Luzerne
Wyomissing Area School District,Wyomissing,Berks
York Academy Regional Charter School,York,York
York City School District,York,York
York County School Of Technology,York,York
York Suburban School District,York,York
Yough School District,Herminie,Westmoreland
Young Scholars Cs,Philadelphia,Philadelphia
Young Scholars Frederick Douglas Charter School,Philadelphia,Philadelphia
Young Scholars Kenderton Cs,Philadelphia,Philadelphia
Young Scholars Of Central Pa Cs,State College,Centre
Young Scholars Of Western Pennsylvania Cs,Pittsburgh,Allegheny
Youth Build Phila Cs,Philadelphia,Philadelphia
Youth Forestry Camp #3,James Creek,Huntingdon
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
